-2.4920240144        0.92492454425
-2.4185500882        0.90771373381
-2.3674807673        0.88063201739
-2.3108469039        0.87689175956
-2.2590820151        0.86114330557
-2.2111098014        0.84555233611
-2.1492994491        0.82712664494
-2.0971245415        0.81074825278
-2.0607353623        0.78436959234
-2.0468972237        0.78318845829
-1.9935215464        0.76530271411
-1.9458788122        0.75838464325
-1.9015967687        0.74421103465
-1.8235101297        0.72573472344
-1.7696731810        0.71610004427
-1.7193946109        0.67881915863
-1.6797252803        0.67050826995
-1.6188374706        0.62716065033
-1.5671750866        0.60950806508
-1.5150514314        0.59397078353
-1.4656954038        0.56532291404
-1.3365394438        0.50089742042
-1.2801618422        0.48639571903
-1.2073834838        0.44302185199
-1.1601031770        0.41733218641
-1.1082101574        0.38420137631
-1.0116726669        0.32254617892
-0.96463946973        0.28711215743
-0.92062650123        0.25167813594
-0.86834908885        0.20561390800
-0.80284856629        0.14466739104
-0.74149948529        0.073541646088
-0.69332226212        0.0087582330610
-0.64693887173        -0.065899281661
-0.61234352531        -0.13708369983
-0.58236089174        -0.21605094772
-0.55699097103        -0.31054167170
-0.54545918889        -0.38081914765
-0.53854011960        -0.43928528311
-0.53392740674        -0.57039116262
-0.54084647603        -0.70326874321
-0.55007190174        -0.79894060123
-0.55929732746        -0.88398225281
-0.57544182245        -1.0038673588
-0.58927996102        -1.1019014850
-0.60081174317        -1.2028884462
-0.61003716888        -1.2826149946
-0.61926259459        -1.3836019558
-0.62848802031        -1.5111644332
-0.63609467456        -1.6636363636
-0.63540708959        -1.7964083062
-0.60059171598        -2.0909090909
-0.55917159763        -2.4181818182
-0.54142011834        -2.6545454545
-0.56508875740        -2.9818181818
