# Wavelength sorted line list
# All wavelengths converted to microns for sorting
# Original units preserved in output
#
# Columns:
# 1. wavelength in microns (for sorting)
# 2. wavelength in original format
# 3. species identification (Cloudy format)
# 4. original wavelength with unit
# 5. comment (if any)
#
2.131620e+01	21.3162	Na 4  	21.3162m
2.182530e+01	21.8253	Ar 3  	21.8253m
2.431090e+01	24.3109	ne 5  	24.3109m
2.588630e+01	25.8863	o  4  	25.8863m
3.347040e+01	33.4704	S  3  	33.4704m
3.480460e+01	34.8046	si 2  	34.8046m
3.600360e+01	36.0036	ne 3  	36.0036m
5.180040e+01	51.8004	o  3  	51.8004m
5.732380e+01	57.3238	n  3  	57.3238m
6.316790e+01	63.1679	o  1  	63.1679m
8.833230e+01	88.3323	o  3  	88.3323m
1.217690e+02	121.769	n  2  	121.769m
1.454950e+02	145.495	o  1  	145.495m
1.576360e+02	157.636	c  2  	157.636m
2.052830e+02	205.283	n  2  	205.283m
3.251370e+02	325.137	CO    	325.137m	# 8-7
3.702690e+02	370.269	c  1  	370.269m
4.133330e+02	413.333	HNC   	413.333m
4.723510e+02	472.351	HNC   	472.351m
4.831680e+02	483.168	HCN   	483.168m
5.100440e+02	510.044	CS    	510.044m
5.235140e+02	523.514	NH3   	523.514m
5.510410e+02	551.041	HNC   	551.041m
5.563720e+02	556.372	CS    	556.372m
5.636650e+02	563.665	HCN   	563.665m
6.095900e+02	609.590	c  1  	609.590m
6.119630e+02	611.963	CS    	611.963m
6.500740e+02	650.074	CO    	650.074m	# 4-3
6.607270e+02	660.727	CN    	660.727m
6.610440e+02	661.044	CN    	661.044m
6.612210e+02	661.221	HNC   	661.221m
6.763730e+02	676.373	HCN   	676.373m
6.799200e+02	679.920	CS    	679.920m
7.648670e+02	764.867	CS    	764.867m
8.264920e+02	826.492	HNC   	826.492m
8.454280e+02	845.428	HCN   	845.428m
8.667270e+02	866.727	CO    	866.727m	# 3-2
8.740940e+02	874.094	CS    	874.094m
8.808580e+02	880.858	CN    	880.858m
8.814210e+02	881.421	CN    	881.421m
8.828330e+02	882.833	CN    	882.833m
1.019720e+03	1019.72	CS    	1019.72m
1.101950e+03	1101.95	HNC   	1101.95m
1.127220e+03	1127.22	HCN   	1127.22m
1.223630e+03	1223.63	CS    	1223.63m
1.300050e+03	1300.05	CO    	1300.05m	# 2-1
1.529500e+03	1529.50	CS    	1529.50m
2.600050e+03	2600.05	CO    	2600.05m	# 1-0
